currency,main-programming-language,company-type,workmode,min-experience,max-experience,english-level,max-title,income-in-currency
Dólares,Typescript,Extranjera,Remoto,7,7,3,4,62400.0
Dólares,Kotlin,Extranjera,Remoto,6,6,3,5,102000.0
Dólares,Soy Manager,Extranjera,Remoto,15,15,4,4,150000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,3,3,4,4,138000000.0
Dólares,Javascript,Extranjera,Remoto,11,11,4,3,78000.0
Pesos,Soy Manager,Extranjera,Híbrido,8,8,3,3,261600000.0
Pesos,Elixir,Colombiana con mercado nacional,Remoto,6,6,4,4,24000000.0
Dólares,C#,Extranjera,Remoto,8,8,4,4,73200.0
Dólares,Typescript,Extranjera,Remoto,9,9,3,4,42250.0
Dólares,Typescript,Extranjera,Remoto,15,15,4,1,160000.0
Pesos,Javascript,Extranjera,Remoto,6,6,4,4,247440000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,17,17,4,4,300000000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,12,12,3,4,186200000.0
Dólares,Python,Extranjera,Remoto,3,3,2,4,42000.0
Pesos,Python,Colombiana con mercado nacional,Remoto,1,1,3,2,39000000.0
Pesos,PHP,Colombiana con mercado nacional,Remoto,1,1,3,1,12280000.0
Pesos,C#,Extranjera,Remoto,10,10,4,4,280000000.0
Pesos,Go,Colombiana con mercado nacional,Remoto,2,2,2,1,65000000.0
Pesos,Typescript,Colombiana con mercado nacional,Híbrido,1,1,1,4,26000000.0
Dólares,Typescript,Extranjera,Remoto,7,7,4,4,113280.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,5,5,1,5,91175500.0
Pesos,Kotlin,Extranjera,Híbrido,9,9,4,4,323129196.0
Dólares,Elixir,Extranjera,Remoto,13,13,4,4,47000.0
Dólares,Javascript,Extranjera,Remoto,10,10,4,4,180000.0
Pesos,Typescript,Extranjera,Remoto,10,10,4,4,354500000.0
Dólares,C#,Extranjera,Remoto,11,11,4,4,84640.0
Dólares,Ruby,Extranjera,Presencial,3,3,4,3,31200.0
Pesos,Otro lenguaje de programación,Colombiana con mercado nacional,Híbrido,7,7,2,4,150000000.0
Dólares,Go,Extranjera,Remoto,10,10,3,4,87000.0
Pesos,Javascript,Colombiana con mercado extranjero,Híbrido,7,7,3,4,114000000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,13,13,3,5,252000000.0
Pesos,C#,Extranjera,Remoto,22,22,3,3,111600000.0
Pesos,Javascript,Extranjera,Remoto,5,5,3,4,222000000.0
Pesos,Javascript,Extranjera,Remoto,8,8,4,4,235000000.0
Pesos,Go,Extranjera,Híbrido,2,2,1,1,112606400.0
Pesos,Javascript,Extranjera,Híbrido,15,15,3,5,9000000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,10,10,2,4,88000000.0
Pesos,C#,Colombiana con mercado nacional,Híbrido,4,4,1,4,66000000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,4,4,4,5,132000000.0
Pesos,Soy Manager,Colombiana con mercado nacional,Híbrido,14,14,1,4,255120000.0
Dólares,Python,Extranjera,Remoto,16,16,3,5,75000.0
Dólares,Java,Extranjera,Remoto,15,15,4,4,80000.0
Pesos,Otro lenguaje de programación,Extranjera,Remoto,7,7,3,4,89907924.0
Dólares,Javascript,Extranjera,Remoto,7,7,3,4,124800.0
Pesos,Javascript,Colombiana con mercado nacional,Remoto,5,5,2,2,54000000.0
Pesos,Typescript,Extranjera,Remoto,10,10,3,4,315000000.0
Dólares,Javascript,Extranjera,Remoto,4,4,3,3,40.867
Dólares,Javascript,Extranjera,Remoto,4,4,2,5,43200.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,4,4,4,4,135200000.0
Dólares,Swift/Objective C,Extranjera,Remoto,8,8,3,1,48000.0
Pesos,Javascript,Extranjera,Remoto,9,9,4,4,490000000.0
Dólares,Javascript,Extranjera,Remoto,5,5,4,4,61440.0
Pesos,Typescript,Extranjera,Remoto,13,13,2,5,220000000.0
Pesos,C#,Extranjera,Remoto,6,6,4,4,290840000.0
Dólares,Python,Soy independiente (Freelance),Remoto,8,8,3,5,136000.0
Dólares,Ruby,Extranjera,Remoto,6,6,4,4,66000.0
Dólares,Go,Extranjera,Remoto,11,11,3,4,110000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,7,7,4,4,222000000.0
Pesos,C#,Colombiana con mercado nacional,Híbrido,4,4,3,3,61000000.0
Dólares,Typescript,Extranjera,Remoto,7,7,4,4,505548000.0
Pesos,Python,Colombiana con mercado nacional,Remoto,3,3,2,4,58000000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,7,7,2,4,100000000.0
Dólares,Javascript,Extranjera,Remoto,8,8,4,4,80000.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,3,3,3,4,35100000.0
Pesos,Soy Manager,Colombiana con mercado nacional,Remoto,8,8,4,4,72500000.0
Dólares,Python,Extranjera,Remoto,10,10,4,4,108000.0
Pesos,Typescript,Extranjera,Remoto,15,15,3,4,446000000.0
Dólares,Ruby,Extranjera,Remoto,15,15,3,4,48000.0
Pesos,Java,Extranjera,Remoto,10,10,2,4,204000000.0
Dólares,Ruby,Extranjera,Remoto,5,5,3,4,47700.0
Dólares,Javascript,Extranjera,Remoto,8,8,4,4,5500.0
Pesos,Javascript,Extranjera,Remoto,13,13,4,4,182000000.0
Pesos,PHP,Colombiana con mercado nacional,Híbrido,4,4,1,3,35000000.0
Pesos,Go,Extranjera,Híbrido,8,8,2,5,190000000.0
Dólares,Elixir,Extranjera,Remoto,7,7,4,4,120000.0
Pesos,Javascript,Extranjera,Remoto,7,7,4,1,230000000.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,3,3,3,4,60000000.0
Dólares,Python,Extranjera,Remoto,9,9,4,3,72000.0
Dólares,Javascript,Extranjera,Remoto,7,7,4,2,4750.0
Pesos,Otro lenguaje de programación,Extranjera,Remoto,12,12,3,4,222000000.0
Pesos,Javascript,Extranjera,Remoto,16,16,4,4,250000000.0
Dólares,Javascript,Extranjera,Remoto,5,5,3,4,48000.0
Pesos,Javascript,Colombiana con mercado extranjero,Híbrido,2,2,4,4,110500000.0
Pesos,Python,Extranjera,Remoto,3,3,3,4,133000000.0
Dólares,Javascript,Extranjera,Remoto,10,10,4,4,105000.0
Dólares,Typescript,Extranjera,Remoto,5,5,2,2,36000.0
Dólares,Python,Extranjera,Remoto,20,20,3,3,60000.0
